site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_quantity,notes,unit_price,unit_price_unit,per_unit_price
Alfatah,MITCHELLS JAM APPLE TIN 1050 GM,615.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_2_9380847d-e12a-4661-93fa-b212a997887a.png?v=1760429564,https://alfatah.pk/products/mitchells-jam-apple-tin-1050-gm,1050.0,g,0,1050.0,no-pack,0.5857142857142857,PKR/g,615.0
Alfatah,MITCHELLS JAM GOLDEN APPLE 450 GM,299.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_10_a9450c46-d019-4068-a593-40b8d5d4dc8d.png?v=1750226974,https://alfatah.pk/products/mitchells-jam-golden-apple-450-gm,450.0,g,0,450.0,no-pack,0.6644444444444444,PKR/g,299.0
Alfatah,STUTE JAM FOR DIABETIC PEACH 430 GM,1495.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/4006424022341.jpg?v=1690227374,https://alfatah.pk/products/stute-jam-for-diabetic-peach-430-gm,430.0,g,0,430.0,no-pack,3.4767441860465116,PKR/g,1495.0
Alfatah,MITCHELLS JAM MIXED FRUIT 200 GM,175.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_2_4635bc49-b9d0-44a8-8ca0-0c654f3943cf.png?v=1749894590,https://alfatah.pk/products/mitchells-jam-mixed-fruit-200-gm,200.0,g,0,200.0,no-pack,0.875,PKR/g,175.0
Alfatah,SHEZAN JAM MIXED FRUIT 370 GM,275.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_10_8fb363a7-9bea-47aa-ad41-72e3146e1e8d.png?v=1744787188,https://alfatah.pk/products/shezan-jam-mixed-fruit-440-gm,370.0,g,0,370.0,no-pack,0.7432432432432432,PKR/g,275.0
Alfatah,SALMAN JAM CITRUS MARMALADE 450 GM,345.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_48_b4b1ce45-866c-41b0-9b90-f327d119c8a3.png?v=1744625462,https://alfatah.pk/products/salman-jam-citrus-marmalade-450-gm,450.0,g,0,450.0,no-pack,0.7666666666666667,PKR/g,345.0
Alfatah,FRUIT TREE JAM MIX FRUIT 440 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/WhatsApp-Image-2020-09-02-at-2.32.37-PM.jpg?v=1690215143,https://alfatah.pk/products/fruit-tree-jam-mix-fruit-440-gm,440.0,g,0,440.0,no-pack,1.6931818181818181,PKR/g,745.0
Alfatah,MITCHELLS JAM DIET FRUIT MIXED 300 GM,320.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2025-09-08T103015.170.png?v=1757309437,https://alfatah.pk/products/mitchells-jam-diet-fruit-mixed-325-gm,300.0,g,0,300.0,no-pack,1.0666666666666667,PKR/g,320.0
Alfatah,FRUIT TREE JAM BLACK CHERRY 440 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9557008441201.jpg?v=1742034534,https://alfatah.pk/products/fruit-tree-jam-black-cherry-440-gm,440.0,g,0,440.0,no-pack,1.6931818181818181,PKR/g,745.0
Alfatah,FRUIT TREE JAM ORANGE MARMALADE 440 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9557008440556.jpg?v=1742034645,https://alfatah.pk/products/fruit-tree-jam-orange-marmalade-440-gm,440.0,g,0,440.0,no-pack,1.6931818181818181,PKR/g,745.0
Alfatah,SHEZAN DEIT MIX FRUIT JAM 320 GM,275.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000052310_6f3497fb-d876-459f-ac33-625f2bb02af2.jpg?v=1727690722,https://alfatah.pk/products/shezan-deit-mix-fruit-jam-320-gm,320.0,g,0,320.0,no-pack,0.859375,PKR/g,275.0
Alfatah,MITCHELLS JAM FRUIT MIXED TIN 1050 GM,615.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/000114318.jpg?v=1738928021,https://alfatah.pk/products/mitchells-jam-fruit-mixed-tin-1050-gm,1050.0,g,0,1050.0,no-pack,0.5857142857142857,PKR/g,615.0
Alfatah,MITCHELLS JAM DIET GOLDEN APPLE 300 GM,320.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2025-10-08T145314.681.png?v=1759917247,https://alfatah.pk/products/mitchells-jam-diet-golden-apple-325-gm,300.0,g,0,300.0,no-pack,1.0666666666666667,PKR/g,320.0
Alfatah,FRUIT TREE JAM BLACKCURRANT CONSERVE 450 GM,1245.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9557008445025.jpg?v=1690215135,https://alfatah.pk/products/fruit-tree-jam-blackcurrant-conserve-450-gm,450.0,g,0,450.0,no-pack,2.7666666666666666,PKR/g,1245.0
Alfatah,SHEZAN JAM SWEET ORANGE MARMALADE 370 GM,275.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/products/5078643001284_1_852d591c-4f97-4a43-a0f9-23219ebcc9e6.jpg?v=1704746198,https://alfatah.pk/products/shezan-jam-sweet-orange-marmalade-440-gm,370.0,g,0,370.0,no-pack,0.7432432432432432,PKR/g,275.0
