site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_volume_ml,normalized_weight_g,notes,unit_price,unit_price_unit,per_unit_price,deal_score,deal_tier,price_percentile,value_score,store_rank,total_size,price_per_size,pack_efficiency,ml_predicted_score
Alfatah,DALDA CANOLA OIL GALON 10 LTR,5795.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000113346_9a37c7b6-5929-49a8-a23a-6c18d8637367.jpg?v=1738820036,https://alfatah.pk/products/dalda-canola-oil-galon-10-ltr,10.0,l,0,10000.0,10000.0,no-pack,0.5795,PKR/ml,5795.0,64.27728613569322,Good,85.10324483775811,54.27728613569322,4,20000.0,0.28975,1.0,64.37355457227152
Alfatah,DALDA COOKING OIL CAN 5 LTR,2895.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/1148810-1.jpg?v=1714711291,https://alfatah.pk/products/dalda-cooking-oil-can-5-ltr,5.0,l,0,5000.0,5000.0,no-pack,0.579,PKR/ml,2895.0,71.23893805309734,Good,69.02654867256636,61.23893805309734,4,10000.0,0.2895,1.0,70.92236745882771
Alfatah,DALDA CANOLA OIL BOTTLE 4.5 LTR,2720.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/1040965-1.jpg?v=1690211605,https://alfatah.pk/products/dalda-canola-oil-bottle-4-5-ltr,4.5,l,0,4500.0,4500.0,no-pack,0.6044444444444445,PKR/ml,2720.0,65.45722713864306,Good,64.0117994100295,55.45722713864306,4,9000.0,0.3022222222222222,1.0,65.55436050920571
Alfatah,DALDA COOKING OIL BOTTLE 3 LTR,1820.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000113353.jpg?v=1741084175,https://alfatah.pk/products/dalda-cooking-oil-bottle-3-ltr,3.0,l,0,3000.0,3000.0,no-pack,0.6066666666666667,PKR/ml,1820.0,69.6755162241888,Good,51.474926253687315,59.6755162241888,4,6000.0,0.30333333333333334,1.0,69.54492098609362
Alfatah,MEZAN COOKING OIL POUCH 1 LTR,535.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2023-05-11T170534.459.png?v=1690220604,https://alfatah.pk/products/mezan-cooking-oil-pouch-1-ltr,1.0,l,0,1000.0,1000.0,no-pack,0.535,PKR/ml,535.0,100.0,Excellent,13.864306784660767,90.73746312684366,4,2000.0,0.2675,1.0,99.99705014749263
Alfatah,DALDA CANOLA OIL POUCH 1 LTR,575.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/1037930-1.jpg?v=1733228801,https://alfatah.pk/products/dalda-canola-oil-pouch-1-ltr,1.0,l,0,1000.0,1000.0,no-pack,0.575,PKR/ml,575.0,91.09144542772862,Excellent,21.386430678466077,81.09144542772862,4,2000.0,0.2875,1.0,91.14395280235998
Alfatah,SEASONS CANOLA OIL POUCH 1 LTR,550.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/1037489-1.jpg?v=1690226048,https://alfatah.pk/products/seasons-canola-oil-pouch-1-ltr,1.0,l,0,1000.0,1000.0,no-pack,0.55,PKR/ml,550.0,97.37463126843659,Excellent,17.404129793510325,87.37463126843659,4,2000.0,0.275,1.0,97.67581120943936
Alfatah,SEASONS CANOLA OIL BOTTLE 4.5 LTR,2545.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000069011.jpg?v=1690226043,https://alfatah.pk/products/seasons-canola-oil-bottle-4-5-ltr,4.5,l,0,4500.0,4500.0,no-pack,0.5655555555555556,PKR/ml,2545.0,78.31858407079645,Excellent,59.29203539823009,68.31858407079645,4,9000.0,0.2827777777777778,1.0,78.79652900688303
Alfatah,CANOLIVE PREMIUM CANOLA OIL POUCH 1 LTR,575.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_51_7cd8893b-74d6-4490-899d-71fbee3a9351.png?v=1759496299,https://alfatah.pk/products/canolive-premium-canola-oil-pouch-1-ltr,1.0,l,0,1000.0,1000.0,no-pack,0.575,PKR/ml,575.0,91.09144542772862,Excellent,21.386430678466077,81.09144542772862,4,2000.0,0.2875,1.0,91.14395280235998
Alfatah,CANOLIVE PREMIUM CANOLA OIL BOTTLE 3 LTR,1815.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2025-10-08T180341.684.png?v=1759928673,https://alfatah.pk/products/canolive-premium-canola-oil-bottle-3-ltr,3.0,l,0,3000.0,3000.0,no-pack,0.605,PKR/ml,1815.0,70.20648967551622,Good,51.03244837758112,60.206489675516224,4,6000.0,0.3025,1.0,70.29615290068834
Alfatah,CANOLIVE PREMIUM CANOLA OIL BOTTLE 4.5 LTR,2745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/1039313-1.jpg?v=1733228844,https://alfatah.pk/products/canolive-premium-canola-oil-bottle-4-5-ltr,4.5,l,0,4500.0,4500.0,no-pack,0.61,PKR/ml,2745.0,63.126843657817105,Good,65.63421828908554,53.126843657817105,4,9000.0,0.305,1.0,63.500290771175834
Alfatah,FF GLAZE COOKING OIL POUCH 1 LTR,535.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/2019082400156.jpg?v=1690214433,https://alfatah.pk/products/ff-glaze-cooking-oil-pouch-1-ltr,1.0,l,0,1000.0,1000.0,no-pack,0.535,PKR/ml,535.0,100.0,Excellent,13.864306784660767,90.73746312684366,4,2000.0,0.2675,1.0,99.99705014749263
Alfatah,FF GLAZE MUSTARD COOKING OIL BOTTLE 3LTR,1845.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/2019082400185.jpg?v=1690214436,https://alfatah.pk/products/ff-glaze-mustard-cooking-oil-bottle-3ltr,3.0,l,0,3000.0,3000.0,no-pack,0.615,PKR/ml,1845.0,67.69911504424778,Good,52.654867256637175,57.699115044247776,4,6000.0,0.3075,1.0,67.7635934566909
Alfatah,SUFI CANOLA COOKING OIL POUCH 1 LTR,565.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000038307.jpg?v=1690227454,https://alfatah.pk/products/sufi-canola-cooking-oil-pouch-1-ltr,1.0,l,0,1000.0,1000.0,no-pack,0.565,PKR/ml,565.0,95.48672566371681,Excellent,19.02654867256637,85.48672566371681,4,2000.0,0.2825,1.0,95.48672566371697
Alfatah,DALDA COOKING OIL STAND UP POUCH 1 LTR,585.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_15_b593cd4d-36d6-4da7-8720-98fec7b6cec1.png?v=1744971288,https://alfatah.pk/products/dalda-cooking-oil-stand-up-pouch-1-ltr,1.0,l,0,1000.0,1000.0,no-pack,0.585,PKR/ml,585.0,87.55162241887905,Excellent,23.156342182890853,77.55162241887905,4,2000.0,0.2925,1.0,87.55162241887892
Alfatah,DALDA CANOLA OIL STAND UP POUCH 1 LTR,585.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/1254420-1.jpg?v=1690211610,https://alfatah.pk/products/dalda-canola-oil-stand-up-pouch-1-ltr,1.0,l,0,1000.0,1000.0,no-pack,0.585,PKR/ml,585.0,87.55162241887905,Excellent,23.156342182890853,77.55162241887905,4,2000.0,0.2925,1.0,87.55162241887892
Alfatah,SUFI CANOLA COOKING OIL BOTTLE 4.5 LTR BASIC,2695.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/1040681-1.jpg?v=1690227452,https://alfatah.pk/products/sufi-canola-cooking-oil-bottle-4-5-ltr-basic,4.5,l,0,4500.0,4500.0,no-pack,0.5988888888888889,PKR/ml,2695.0,66.78466076696165,Good,62.684365781710916,56.78466076696165,4,9000.0,0.29944444444444446,1.0,67.00165846199033
Alfatah,DALDA SUNFLOWER OIL BOTTLE 4.5 LTR,2720.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/1108270-1.jpg?v=1733229103,https://alfatah.pk/products/dalda-sunflower-oil-bottle-4-5-ltr,4.5,l,0,4500.0,4500.0,no-pack,0.6044444444444445,PKR/ml,2720.0,65.45722713864306,Good,64.0117994100295,55.45722713864306,4,9000.0,0.3022222222222222,1.0,65.55436050920571
Alfatah,DALDA COOKING OIL BOTTLE 4.5 LTR,2720.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000113331.jpg?v=1741084177,https://alfatah.pk/products/dalda-cooking-oil-bottle-4-5-ltr,4.5,l,0,4500.0,4500.0,no-pack,0.6044444444444445,PKR/ml,2720.0,65.45722713864306,Good,64.0117994100295,55.45722713864306,4,9000.0,0.3022222222222222,1.0,65.55436050920571
Alfatah,RAFHAN CORN OIL BOTTLE 3 LTR,2945.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/CORNOIL3Ldaraz.png?v=1750147058,https://alfatah.pk/products/rafhan-corn-oil-bottle-3-ltr,3.0,l,0,3000.0,3000.0,no-pack,0.9816666666666668,PKR/ml,2945.0,56.224188790560476,Fair,70.50147492625368,46.224188790560476,4,6000.0,0.49083333333333334,1.0,56.341445427728594
Alfatah,SASSO OLIVE OIL TIN 400 ML,2445.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_65_ec99ba47-512e-42da-9a8d-b7f761ac217c.png?v=1758020189,https://alfatah.pk/products/sasso-olive-oil-tin-400-ml,400.0,ml,0,400.0,400.0,no-pack,6.1125,PKR/ml,2445.0,35.97345132743363,Poor,58.4070796460177,30.97345132743363,4,800.0,3.05625,1.0,36.41023258288751
Alfatah,DALDA OLIVE OIL POMACE 1 LTR,2695.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8961100500338-Dalda-Olive-Oil-Pomace-1-Litre.webp?v=1737793423,https://alfatah.pk/products/dalda-olive-oil-pomace-1-ltr,1.0,l,0,1000.0,1000.0,no-pack,2.695,PKR/ml,2695.0,52.44837758112094,Fair,62.684365781710916,42.44837758112094,4,2000.0,1.3475,1.0,52.65141171512859
Alfatah,DALDA OLIVE OIL EXTRA VIRGIN 1 LTR,3395.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8961100500390_1.jpg?v=1709200672,https://alfatah.pk/products/dalda-olive-oil-extra-virgin-1-ltr,1.0,l,0,1000.0,1000.0,no-pack,3.395,PKR/ml,3395.0,42.06489675516224,Fair,74.48377581120944,32.06489675516224,4,2000.0,1.6975,1.0,42.147647141452495
Alfatah,MUNDIAL OLIVE OIL POMACE BOTTLE 500 ML,1445.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/1070331-1.jpg?v=1690221265,https://alfatah.pk/products/mundial-olive-oil-pomace-bottle-500-ml,500.0,ml,0,500.0,500.0,no-pack,2.89,PKR/ml,1445.0,54.08554572271387,Fair,39.67551622418879,49.08554572271387,4,1000.0,1.445,1.0,53.96680186823991
