site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_quantity,notes,unit_price,unit_price_unit,per_unit_price,deal_score,deal_tier,price_percentile,value_score,store_rank,ml_predicted_score,product_cluster
Alfatah,CROWN PEANUT BUTTER SMOOTH & CREAMY 340 GM,1095.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/WhatsApp-Image-2021-01-29-at-12.21.20-PM.jpg?v=1690211372,https://alfatah.pk/products/crown-peanut-butter-smooth-creamy-340-gm,340.0,g,0,340.0,no-pack,3.2205882352941178,PKR/g,1095.0,22.028211711372954,Poor,67.3076923076923,17.960062895431854,3,21.91695140887835,1
Alfatah,REESES PEANUT BUTTER CHOCOLATE BAR 90 GM,1295.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/034000443659_d8778550-e912-4816-b6c6-b161e035c39e.jpg?v=1761396158,https://alfatah.pk/products/reeses-peanut-butter-chocolate-bar-90-gm,90.0,g,0,90.0,no-pack,14.38888888888889,PKR/g,1295.0,14.022305843841803,Poor,76.92307692307693,3.9549136112193635,3,14.118299285786032,1
Alfatah,EAZU HAPPY BITES BUTTER COOKIES 90 GM,230.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/0735745839287_88eb68b4-69f1-41cb-bf39-5666c278aaa3.jpg?v=1740397921,https://alfatah.pk/products/eazu-happy-bites-butter-cookies-90-gm,90.0,g,0,90.0,no-pack,2.555555555555556,PKR/g,230.0,36.72688018125656,Poor,16.025641025641026,22.655452018858814,3,37.25083483538871,1
Alfatah,VASELINE LIP THERAPY COCOA BUTTER 7 GM,495.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2024-11-08T102911.670.png?v=1731043779,https://alfatah.pk/products/vaseline-lip-therapy-cocoa-butter-7-gm,7.0,g,0,7.0,no-pack,70.71428571428571,PKR/g,495.0,23.713085476173624,Poor,33.01282051282051,0.737952435638658,3,23.43378071244105,1
Alfatah,PEEK FREANS BUTTER PUFF HR 52.4 GM,40.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_31_0f127039-4581-412e-9992-f20d7a310186.png?v=1745059239,https://alfatah.pk/products/peek-freans-butter-puff-hr-52-4-gm,52.4,g,0,52.4,no-pack,0.7633587786259542,PKR/g,40.0,61.84484774420529,Good,0.9615384615384616,76.03530682366655,3,61.876506162230264,1
Alfatah,EURO BAKE DANISH BUTTER COOKIES 35 GM,120.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_23_627fda54-4008-4d2d-a6e8-3d30b31af737.png?v=1706771499,https://alfatah.pk/products/euro-bake-danish-butter-cookies-40gm,35.0,g,0,35.0,no-pack,3.4285714285714284,PKR/g,120.0,36.414111987790456,Poor,8.012820512820513,16.86551871468073,3,36.263001702887976,1
Alfatah,AMERICAN NATURAL PEANUT BUTTER CRUNCHY 510 GM,1145.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8908017415157_a8c0716c-38e3-4a0e-a2e4-c8cebe1d18e9.jpg?v=1763554336,https://alfatah.pk/products/american-natural-peanut-butter-crunchy-510-gm,510.0,g,0,510.0,no-pack,2.2450980392156863,PKR/g,1145.0,24.4429359421109,Poor,70.1923076923077,25.799758087661335,3,24.371962856010423,1
Alfatah,AMERICAN NATURAL PEANUT BUTTER CRUNCHY 340 GM,795.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8908017415140_381d9cfa-8164-4cff-a74f-fcf2f8e3f25a.jpg?v=1763554335,https://alfatah.pk/products/american-natural-peanut-butter-crunchy-340-gm,340.0,g,0,340.0,no-pack,2.338235294117647,PKR/g,795.0,27.71644957864558,Poor,55.44871794871795,24.76879858925444,3,27.69934163445425,1
Alfatah,AMERICAN NATURAL PEANUT BUTTER CREAMY 510 GM,1145.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8908017415133_41beae6d-14cd-489e-99f6-79e6ee2b86c1.jpg?v=1763554332,https://alfatah.pk/products/american-natural-peanut-butter-creamy-510-gm,510.0,g,0,510.0,no-pack,2.2450980392156863,PKR/g,1145.0,24.4429359421109,Poor,70.1923076923077,25.799758087661335,3,24.371962856010423,1
Alfatah,AMERICAN NATURAL PEANUT BUTTER CREAM 340 GM,795.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8908017415126_de6da829-98a9-47b6-95cb-64571f0da5cc.jpg?v=1763554330,https://alfatah.pk/products/american-natural-peanut-butter-cream-340-gm,340.0,g,0,340.0,no-pack,2.338235294117647,PKR/g,795.0,27.71644957864558,Poor,55.44871794871795,24.76879858925444,3,27.69934163445425,1
Alfatah,JULIES PEANUT BUTTER SANDWICH BISCUITS 180 GM,995.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_13_41525027-8412-4c8f-a1fd-c646e4583383.png?v=1750945557,https://alfatah.pk/products/julies-peanut-butter-sandwich-biscuits-180-gm,180.0,g,0,180.0,no-pack,5.527777777777778,PKR/g,995.0,20.29784136789495,Poor,62.17948717948718,10.429008831608634,3,20.051479594894683,1
Alfatah,JULIES PEANUT BUTTER SANDWICH BISCUITS 120 GM,775.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000566772_aae178c8-7ac3-43b9-b169-4cf2c5609e77.jpg?v=1754739186,https://alfatah.pk/products/julies-peanut-butter-sandwich-biscuits-120-gm,120.0,g,0,120.0,no-pack,6.458333333333333,PKR/g,775.0,22.095794020598113,Poor,52.56410256410257,8.914275078751158,3,22.112059286776084,1
Alfatah,KRUNCHEES HAPPY DAY BUTTER BISCUIT 100 GM,395.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964003748920_89ae9706-f9cc-4b7e-9357-72b3bf096df9.jpg?v=1730547942,https://alfatah.pk/products/krunchees-happy-day-butter-biscuit-100-gm,100.0,g,0,100.0,no-pack,3.95,PKR/g,395.0,31.031979008862024,Poor,25.961538461538463,14.628134985308378,3,30.82699975265566,1
Alfatah,LOACKER QUADRATINI WAFER PEANUT BUTTER 125 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8000380205486_99618b7b-f642-495a-b638-bef3f8440810.jpg?v=1730547887,https://alfatah.pk/products/loacker-quadratini-wafer-peanut-butter-125-gm,125.0,g,0,125.0,no-pack,5.96,PKR/g,745.0,23.117887101011974,Poor,49.67948717948718,9.666623164401198,3,22.640396137547054,1
Alfatah,ACT2 POP CORN BUTTER 255 GM BASIC,795.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/076150982381_30499643-b3ba-436e-b607-556109d49707.jpg?v=1727523518,https://alfatah.pk/products/act2-pop-corn-butter-255-gm-basic,255.0,g,0,255.0,no-pack,3.117647058823529,PKR/g,795.0,25.231263598241718,Poor,55.44871794871795,18.55583363824479,3,25.338073051638684,1
Alfatah,WISHFUL CLEAN GENIE CLEANSING BUTTER 100 GM,13500.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/6291106034622_f3d76322-b404-4d67-8084-967ef5d0ae15.jpg?v=1726135970,https://alfatah.pk/products/wishful-clean-genie-cleansing-butter-100-gm,100.0,g,0,100.0,no-pack,135.0,PKR/g,13500.0,6.970011742863668,Poor,99.35897435897436,0.3466142562099192,3,6.9799520850451255,1
Alfatah,KRUNCHEES CHIPS MIX CHIP & BUTTER 100 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964003120993_a30c8e23-b65e-44bf-bdcc-ed4b2b347f42.jpg?v=1717590582,https://alfatah.pk/products/krunchees-chips-mix-chip-butter-100-gm,100.0,g,0,100.0,no-pack,7.45,PKR/g,745.0,22.337859050042262,Poor,49.67948717948718,7.716553036976916,3,22.3144787421355,1
Alfatah,PALMERS TUMMY BUTTER STRETCH MARKS 125 GM,1995.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/010181040764_21a4fdbf-7a47-4c3b-a470-18d3073e228c.jpg?v=1716988396,https://alfatah.pk/products/palmers-tummy-butter-stretch-marks-125-gm,125.0,g,0,125.0,no-pack,15.96,PKR/g,1995.0,10.658147068645134,Poor,89.74358974358975,3.5573371860481986,3,10.55719779443442,1
Alfatah,INNOVATIVE BUTTER CRUNCH HALF ROLL 68.9 GM,40.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/products/8965310050607_1.jpg?v=1710748369,https://alfatah.pk/products/innovative-butter-crunch-half-roll-68-9-gm,68.9,g,0,68.9,no-pack,0.5805515239477503,PKR/g,40.0,71.43072501473868,Good,0.9615384615384616,100.0,3,71.33360379985322,1
Alfatah,VASELINE LIP THERAPY COCOA BUTTER 4.8 GM,445.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2025-11-19T153527.506.png?v=1763548600,https://alfatah.pk/products/vaseline-lip-therapy-cocoa-butter-4-8-gm,4.8,g,0,4.8,no-pack,92.70833333333334,PKR/g,445.0,24.51650953477504,Poor,29.48717948717949,0.5429869411165468,3,24.553141975255286,1
Alfatah,BAKEA PANCAKE MIX BUTTER MILK 450 GM,460.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000327842.jpg?v=1739011070,https://alfatah.pk/products/bakea-pancake-mix-butter-milk-20s-450gm,450.0,g,0,450.0,no-pack,1.022222222222222,PKR/g,460.0,46.84349080878031,Fair,30.128205128205128,56.76108115177075,3,46.72989537174316,1
Alfatah,LURPAK BUTTER SPREADABLE SLIGHTLY SALTED 250 GM,1420.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/5740900804302_1_5e80854e-3fad-4d83-bff0-687c73bcc98c.jpg?v=1706080842,https://alfatah.pk/products/lurpak-butter-spreadable-slightly-salted-250-gm,250.0,g,0,250.0,no-pack,5.68,PKR/g,1420.0,15.617839039626775,Poor,80.44871794871796,10.14727224170743,3,15.654684399401551,1
Alfatah,PALMERS BUST CREAM COCOA BUTTER 125 GM,1995.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000000145_97c3cadb-91ac-4b14-8dd5-a33a92d5b761.jpg?v=1751454482,https://alfatah.pk/products/palmers-bust-cream-cocoa-butter-with-bio-c-elaste-125-gm,125.0,g,0,125.0,no-pack,15.96,PKR/g,1995.0,10.658147068645134,Poor,89.74358974358975,3.5573371860481986,3,10.55719779443442,1
Alfatah,DANISA BUTTER COOKIES TRADITIONAL TIN 454 GM,1845.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8886001012295.jpg?v=1690211693,https://alfatah.pk/products/danisa-butter-cookies-traditional-tin-454-gm,454.0,g,0,454.0,no-pack,4.063876651982379,PKR/g,1845.0,15.242081157474571,Poor,88.46153846153845,14.215890356839727,3,15.263513480638332,1
Alfatah,AMERICAN GARDEN POP CORN BUTTER 273 GM,1095.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000000931.jpg?v=1748415004,https://alfatah.pk/products/american-garden-pop-corn-butter-273-gm,273.0,g,0,273.0,no-pack,4.010989010989011,PKR/g,1095.0,20.605961613225254,Poor,67.3076923076923,14.404437650062594,3,20.543397131361456,1
Alfatah,TIFFANY DELIGHT BUTTER COOKIE TIN 405 GM,2895.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/6291003006678.jpg?v=1690228409,https://alfatah.pk/products/tiffany-delight-butter-cookie-405-gm,405.0,g,0,405.0,no-pack,7.148148148148148,PKR/g,2895.0,11.01128211763623,Poor,95.51282051282051,8.045944039295163,3,10.81848040585649,1
Alfatah,N HUG CHUNKY PEANUT BUTTER 340 GM,1145.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_7_c27df5cb-c657-4bd6-a678-d5d309127ff0.png?v=1761291658,https://alfatah.pk/products/n-hug-chunky-peanut-butter-340g,340.0,g,0,340.0,no-pack,3.367647058823529,PKR/g,1145.0,20.991889560254506,Poor,70.1923076923077,17.17214213302035,3,21.484313689628088,1
