site,category,section,product_id,title,price,image_url,product_url
Rainbow,GROCERY,OIL & GHEE,1953657,Kashmir Banaspati Bkt,1464.0,https://em-cdn.eatmubarak.pk/55544/gallery/KASHMIR%20BANASPATI%202.5KG%20BKT.png,
Rainbow,GROCERY,OIL & GHEE,1953688,Sufi Canola Cooking Oil,1149.0,https://em-cdn.eatmubarak.pk/55544/gallery/SUFI%20CANOLA%20COOKING%20OIL%201.8LTR.png,
Rainbow,GROCERY,OIL & GHEE,1953656,Kashmir Banaspati Pb,574.0,https://em-cdn.eatmubarak.pk/55544/gallery/KASHMIR%20BANASPATI%201KG%20PB.png,
Rainbow,GROCERY,OIL & GHEE,2061692,Marhaba Olive Oil,509.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MARHABA%20OLIVE%20OIL%20100ML.png,
Rainbow,GROCERY,OIL & GHEE,2061693,Marhaba Olive Oil,139.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MARHABA%20OLIVE%20OIL%2025ML.png,
Rainbow,GROCERY,OIL & GHEE,2061694,Marhaba Olive Oil,274.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MARHABA%20OLIVE%20OIL%2050ML.png,
Rainbow,GROCERY,OIL & GHEE,2061697,Mundial Olive Oil Pure Tin,719.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MUNDIAL%20OLIVE%20OIL%20PURE%20TIN%20%20125ML.png,
Rainbow,GROCERY,OIL & GHEE,2065766,Canolive Oil Bottle,2719.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/CANOLIVE%20OIL%20%20BOTTLE%204.5LTR.png,
Rainbow,GROCERY,OIL & GHEE,1953624,Dalda Canola Oil,584.0,https://em-cdn.eatmubarak.pk/55544/gallery/NOC.png,
Rainbow,GROCERY,OIL & GHEE,1953693,Sufi Canola Oil Bottle,2649.0,https://em-cdn.eatmubarak.pk/55544/gallery/SUFI%20CANOLA%20OIL%204.5LTR%20BOTTLE.png,
Rainbow,GROCERY,OIL & GHEE,1953640,Dalda Sunflower Oil,584.0,https://em-cdn.eatmubarak.pk/55544/gallery/DALDA%20SUNFLOWER%20OIL%201LTR%20NOZ.png,
Rainbow,GROCERY,OIL & GHEE,1953626,Dalda Canola Oil,1774.0,https://em-cdn.eatmubarak.pk/55544/gallery/DALDA%20CANOLA%20OIL%203LTR%20BOTTLE.png,
Rainbow,GROCERY,OIL & GHEE,1953627,Dalda Canola Oil,2619.0,https://em-cdn.eatmubarak.pk/55544/gallery/DALDA%20CANOLA%20OIL%204.5LTR%20BOTTLE.png,
Rainbow,GROCERY,OIL & GHEE,1953631,Dalda Cooking Oil,1789.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,OIL & GHEE,1953632,Dalda Cooking Oil,2698.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,OIL & GHEE,1953634,Dalda Corn Oil,2119.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,OIL & GHEE,1953635,Dalda Corn Oil,3219.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,OIL & GHEE,1953692,Sufi Canola Oil Bottle,1774.0,https://em-cdn.eatmubarak.pk/55544/gallery/SUFI%20CANOLA%20OIL%203LTR%20BOTTLE.png,
Rainbow,GROCERY,OIL & GHEE,1953699,Tullo Banaspati Pb,524.0,https://em-cdn.eatmubarak.pk/55544/gallery/TULLO%20BANASPATI%201KG%20PB.png,
Rainbow,GROCERY,OIL & GHEE,1953700,Tullo Cooking Oil Pb,524.0,https://em-cdn.eatmubarak.pk/55544/gallery/TULLO%20COOKING%20OIL%201LTR%20PB.png,
Rainbow,GROCERY,OIL & GHEE,1953663,Kausar Cooking Oil Bottle,1594.0,https://em-cdn.eatmubarak.pk/55544/gallery/KAUSAR%20COOKING%20OIL%203LTR%20BOTTLE.png,
Rainbow,GROCERY,OIL & GHEE,1953694,Sufi Soyabean Oil Pb,554.0,https://em-cdn.eatmubarak.pk/55544/gallery/SUFI%20SOYABEAN%20OIL%201LTR%20PB.png,
Rainbow,GROCERY,OIL & GHEE,1953689,Sufi Canola Cooking Oil Bottle,489.0,https://em-cdn.eatmubarak.pk/55544/gallery/SUFI%20CANOLA%20COOKING%20OIL%20750ML%20BOTTLE.png,
Rainbow,GROCERY,OIL & GHEE,2145778,Borges Extra Light Olive Oil,1739.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/BORGES%20EXTRA%20LIGHT%20OLIVE%20OIl%20250ML.png,
Rainbow,GROCERY,OIL & GHEE,2145779,Borges Extra Light Olive Oil,3169.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/BORGES%20EXTRA%20LIGHT%20OLIVE%20OIL500ML.png,
Rainbow,GROCERY,OIL & GHEE,2145780,Borges Extra Virgin Olive Oil,1059.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/BORGES%20EXTRA%20VIRGIN%20OLIVE%20OIL%20125ML.png,
