site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_quantity,notes,unit_price,unit_price_unit,per_unit_price,deal_score,deal_tier,price_percentile,value_score,store_rank,ml_predicted_score,product_cluster
Naheed,"Nivea Cocoa Butter Dry Skin Body Lotion, With Deep Moisture Serum, 400ml",2200.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/1/1104594-1.jpg,https://www.naheed.pk/nivea-cocoa-butter-dry-skin-body-lotion-with-deep-moisture-serum-400ml,400.0,ml,0,400.0,no-pack,5.5,PKR/ml,2200.0,9.4503774996421,Poor,92.16867469879519,18.714704322889894,4,9.467473386909548,1
Naheed,"Nivea 48H Nourishing Body Lotion, Deep Moisture Serum, 250ml",1800.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1053645-1.jpg,https://www.naheed.pk/nivea-48h-nourishing-body-lotion-deep-moisture-serum-250ml,250.0,ml,0,250.0,no-pack,7.2,PKR/ml,1800.0,10.71428010242074,Poor,77.10843373493977,12.46181022742686,4,10.72940926343175,1
Naheed,"Vaseline Healthy White UV Lightening Lotion, With Vitamin B3 & Triple Sunscreens, 200ml",875.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/i/c/ic-1051432-rpl-1.jpg,https://www.naheed.pk/vaseline-healthy-white-uv-lightening-lotion-with-vitamin-b3-triple-sunscreens-200ml,200.0,ml,0,200.0,no-pack,4.375,PKR/ml,875.0,20.15623061313638,Poor,60.24096385542169,25.52451782951715,4,20.181791939152063,0
Naheed,Vaseline Intensive Care Aloe Soothe Lotion 400ml (Imported),1400.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/1/1125843-1_1.jpg,https://www.naheed.pk/vaseline-intensive-care-aloe-soothe-lotion-400ml-imported,400.0,ml,0,400.0,no-pack,3.5,PKR/ml,1400.0,21.52760685809004,Poor,68.07228915662651,33.84753675515432,4,21.51330731972616,1
Naheed,"Pond's Triple Vitamin Moisturizing Lotion, Silky Smooth Skin, 100ml",350.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/i/u/iu1043120-1.jpg,https://www.naheed.pk/pond-s-triple-vitamin-moisturizing-lotion-silky-smooth-skin-100ml,100.0,ml,0,100.0,no-pack,3.5,PKR/ml,350.0,32.97338999062016,Poor,22.289156626506024,33.84753675515432,4,33.0193301337853,0
Naheed,"Physiogel Daily Moisture Therapy Lotion, For Normal Dry and Sensitive Skin, 200ml",3750.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1013379-1_1.jpg,https://www.naheed.pk/physiogel-daily-moisture-therapy-lotion-for-normal-dry-and-sensitive-skin-200ml,200.0,ml,0,200.0,no-pack,18.75,PKR/ml,3750.0,0.006664445184938472,Poor,100.0,0.0,4,0.023031946469447864,2
Naheed,"Nivea 48H Express Hydration Body Lotion, Normal To Dry Skin, 400ml",2200.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1053047-1.jpg,https://www.naheed.pk/nivea-48h-express-hydration-body-lotion-normal-to-dry-skin-400ml,400.0,ml,0,400.0,no-pack,5.5,PKR/ml,2200.0,9.4503774996421,Poor,92.16867469879519,18.714704322889894,4,9.467473386909548,1
Naheed,"Vaseline Intensive Care Cocoa Radiant Pure Cocoa Butter Body Lotion, 100ml",425.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1224104-1.jpg,https://www.naheed.pk/vaseline-intensive-care-cocoa-radiant-pure-cocoa-butter-body-lotion-100ml,100.0,ml,0,100.0,no-pack,4.25,PKR/ml,425.0,27.325012500492548,Poor,33.13253012048193,26.503701463570223,4,27.324982727894522,0
Naheed,"Vaseline Intensive Care Deep Restore Body Lotion, For Dry Skin, 100ml",425.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1225964-1.jpg,https://www.naheed.pk/vaseline-intensive-care-deep-restore-body-lotion-for-dry-skin-100ml,100.0,ml,0,100.0,no-pack,4.25,PKR/ml,425.0,27.325012500492548,Poor,33.13253012048193,26.503701463570223,4,27.324982727894522,0
Naheed,"Nivea Natural Fairness Body Lotion, Normal To Dry Skin, 250ml",1800.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/i/u/iun1007961-1.jpg,https://www.naheed.pk/nivea-natural-fairness-body-lotion-normal-to-dry-skin-250ml,250.0,ml,0,250.0,no-pack,7.2,PKR/ml,1800.0,10.71428010242074,Poor,77.10843373493977,12.46181022742686,4,10.72940926343175,1
Naheed,"Revlon Natural Honey Skin Body And Hands Conditioning Lotion, 350ml",610.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1036388-1.jpg,https://www.naheed.pk/revlon-natural-honey-skin-body-and-hands-conditioning-lotion-350ml,350.0,ml,0,350.0,no-pack,1.7428571428571429,PKR/ml,610.0,42.37577340638629,Fair,51.80722891566265,75.80229047529252,4,42.409616524233535,0
Naheed,"Revlon Natural Honey Body And Hands Conditioning Lotion, Original Formula, 200ml",410.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/i/u/iu1036387-1.jpg,https://www.naheed.pk/revlon-natural-honey-body-and-hands-conditioning-lotion-original-formula-200ml,200.0,ml,0,200.0,no-pack,2.05,PKR/ml,410.0,43.241087459817905,Fair,28.313253012048197,63.28184066911254,4,43.21542402594708,0
Naheed,"Nivea 48H Express Hydration Body Lotion, Normal To Dry Skin, 250ml",1800.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1053049-1.jpg,https://www.naheed.pk/nivea-48h-express-hydration-body-lotion-normal-to-dry-skin-250ml,250.0,ml,0,250.0,no-pack,7.2,PKR/ml,1800.0,10.71428010242074,Poor,77.10843373493977,12.46181022742686,4,10.72940926343175,1
Naheed,"Nivea 48H Aloe & Hydration Body Lotion, With Deep Moisture Serum, Normal To Dry Skin, 250ml",1800.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/1/1181669-1.jpg,https://www.naheed.pk/nivea-48h-aloe-hydration-body-lotion-with-deep-moisture-serum-normal-to-dry-skin-250ml,250.0,ml,0,250.0,no-pack,7.2,PKR/ml,1800.0,10.71428010242074,Poor,77.10843373493977,12.46181022742686,4,10.72940926343175,1
